locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBBPGFGJ_02116	CDS	1395	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
EBBPGFGJ_02117	CDS	1371	algC	5.4.2.2		Phosphomannomutase/phosphoglucomutase
EBBPGFGJ_02118	CDS	1437	manC1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
EBBPGFGJ_02119	CDS	1224				hypothetical protein
EBBPGFGJ_02120	CDS	474	gmm	3.6.1.-	COG1051	GDP-mannose mannosyl hydrolase
EBBPGFGJ_02121	CDS	966	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
EBBPGFGJ_02122	CDS	1122	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
EBBPGFGJ_02123	CDS	555				hypothetical protein
EBBPGFGJ_02124	CDS	747				hypothetical protein
EBBPGFGJ_02125	CDS	1215				hypothetical protein
EBBPGFGJ_02126	CDS	1218				hypothetical protein
EBBPGFGJ_02127	CDS	489	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
EBBPGFGJ_02128	CDS	912				hypothetical protein
EBBPGFGJ_02129	CDS	2160	wzc	2.7.10.-	COG0489	Tyrosine-protein kinase wzc
EBBPGFGJ_02130	CDS	450	wzb	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Wzb
EBBPGFGJ_02131	CDS	1140	wza		COG1596	Putative polysaccharide export protein Wza
EBBPGFGJ_02132	CDS	1581				hypothetical protein
EBBPGFGJ_02133	CDS	1857				hypothetical protein
EBBPGFGJ_02134	CDS	582	dcd	3.5.4.13	COG0717	dCTP deaminase
EBBPGFGJ_02135	CDS	642	udk	2.7.1.48	COG0572	Uridine kinase
EBBPGFGJ_02136	CDS	2991				hypothetical protein
EBBPGFGJ_02137	CDS	870	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase 2
EBBPGFGJ_02138	CDS	1353	dnaK_2			Chaperone protein DnaK
EBBPGFGJ_02139	CDS	198				hypothetical protein
EBBPGFGJ_02140	CDS	1242	mdtA		COG0845	Multidrug resistance protein MdtA
EBBPGFGJ_02141	CDS	3123	mdtB			Multidrug resistance protein MdtB
EBBPGFGJ_02142	CDS	3081	mdtC			Multidrug resistance protein MdtC
EBBPGFGJ_02143	CDS	1413	mdtD		COG2814	Putative multidrug resistance protein MdtD
EBBPGFGJ_02144	CDS	1404	baeS			two-component system sensor histidine kinase BaeS
EBBPGFGJ_02145	CDS	723	baeR		COG0745	Transcriptional regulatory protein BaeR
EBBPGFGJ_02146	CDS	1203				hypothetical protein
EBBPGFGJ_02147	CDS	717				hypothetical protein
EBBPGFGJ_02148	CDS	2112				hypothetical protein
EBBPGFGJ_02149	CDS	1362	trhP	3.4.-.-	COG0826	tRNA hydroxylation protein P
EBBPGFGJ_02150	CDS	1008	sseK2	2.4.1.-		Protein-arginine N-acetylglucosaminyltransferase SseK2
EBBPGFGJ_02151	CDS	417	cesT			Tir chaperone
EBBPGFGJ_02152	CDS	336				hypothetical protein
EBBPGFGJ_02153	CDS	900	yegS	2.7.1.-		putative lipid kinase YegS
EBBPGFGJ_02154	CDS	1053	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
EBBPGFGJ_02155	CDS	1272	yegT		COG2211	Putative nucleoside transporter YegT
EBBPGFGJ_02156	CDS	1005	draG	3.2.2.24		ADP-ribosyl-[dinitrogen reductase] glycohydrolase
EBBPGFGJ_02157	CDS	966	fruK_1	2.7.1.56	COG1105	1-phosphofructokinase
EBBPGFGJ_02158	CDS	747	ggaR		COG2188	HTH-type transcriptional regulator GgaR
EBBPGFGJ_02159	CDS	801	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
EBBPGFGJ_02160	CDS	798	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
EBBPGFGJ_02161	CDS	315	rcnB		COG5455	Nickel/cobalt homeostasis protein RcnB
EBBPGFGJ_02162	CDS	1008	yehA		COG3539	putative fimbrial-like protein YehA
EBBPGFGJ_02163	CDS	2490	yehB		COG3188	Outer membrane usher protein YehB
EBBPGFGJ_02164	CDS	684	yehC		COG3121	putative fimbrial chaperone YehC
EBBPGFGJ_02165	CDS	531	yehD		COG3539	putative fimbrial-like protein YehD
EBBPGFGJ_02166	CDS	282				hypothetical protein
EBBPGFGJ_02167	CDS	1110	apbC			Iron-sulfur cluster carrier protein
EBBPGFGJ_02168	CDS	2034	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
EBBPGFGJ_02169	CDS	459	yehR		COG4808	putative lipoprotein YehR
EBBPGFGJ_02170	CDS	531				hypothetical protein
EBBPGFGJ_02171	CDS	468				hypothetical protein
EBBPGFGJ_02172	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
EBBPGFGJ_02173	CDS	1686	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
EBBPGFGJ_02174	CDS	732	mlrA_2		COG0789	HTH-type transcriptional regulator MlrA
EBBPGFGJ_02175	CDS	108				hypothetical protein
EBBPGFGJ_02176	CDS	732	yehW		COG1174	Glycine betaine uptake system permease protein YehW
EBBPGFGJ_02177	CDS	948	yehX	7.4.2.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
EBBPGFGJ_02178	CDS	1170	yehY		COG1174	Glycine betaine uptake system permease protein YehY
EBBPGFGJ_02179	CDS	918	yehZ		COG1732	Glycine betaine-binding protein YehZ
EBBPGFGJ_02180	CDS	2298		3.2.1.-	COG1472	Beta-xylosidase
EBBPGFGJ_02181	CDS	1731	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
EBBPGFGJ_02182	CDS	909	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
EBBPGFGJ_02183	CDS	588	yohC			Inner membrane protein YohC
EBBPGFGJ_02184	CDS	570	yohD		COG0586	Inner membrane protein YohD
EBBPGFGJ_02185	CDS	762	yohF	1.-.-.-	COG1028	putative oxidoreductase YohF
EBBPGFGJ_02186	CDS	1437	opmQ			Pyoverdine export outer membrane protein OpmQ
EBBPGFGJ_02187	CDS	939	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
EBBPGFGJ_02188	CDS	1194	mhbM	1.14.13.24	COG0654	3-hydroxybenzoate 6-hydroxylase
EBBPGFGJ_02189	CDS	645	nagL	5.2.1.4		Maleylpyruvate isomerase
EBBPGFGJ_02190	CDS	702	nagK_2	3.7.1.20		Fumarylpyruvate hydrolase
EBBPGFGJ_02191	CDS	1038	xlnE	1.13.11.4		Gentisate 1,2 dioxygenase 1
EBBPGFGJ_02192	CDS	1359	mhbT		COG2271	3-hydroxybenzoate transporter MhbT
EBBPGFGJ_02193	CDS	909	gbpR_2			HTH-type transcriptional regulator GbpR
EBBPGFGJ_02194	CDS	399				hypothetical protein
EBBPGFGJ_02195	CDS	696	yohK_1		COG1346	Inner membrane protein YohK
EBBPGFGJ_02196	CDS	885	cdd	3.5.4.5	COG0295	Cytidine deaminase
EBBPGFGJ_02197	CDS	720				hypothetical protein
EBBPGFGJ_02198	CDS	240				hypothetical protein
EBBPGFGJ_02199	CDS	1242	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
EBBPGFGJ_02200	CDS	1236	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
EBBPGFGJ_02201	CDS	1011	mglC			Galactose/methyl galactoside import permease protein MglC
EBBPGFGJ_02202	CDS	1521	mglA	7.5.2.11		Galactose/methyl galactoside import ATP-binding protein MglA
EBBPGFGJ_02203	CDS	999	mglB			D-galactose/methyl-galactoside binding periplasmic protein MglB
EBBPGFGJ_02204	CDS	1023	galS_2		COG1609	HTH-type transcriptional regulator GalS
EBBPGFGJ_02205	CDS	1161				hypothetical protein
EBBPGFGJ_02206	CDS	669	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
EBBPGFGJ_02207	CDS	858	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
EBBPGFGJ_02208	CDS	390				hypothetical protein
EBBPGFGJ_02209	CDS	1368	sdaA_2	4.3.1.17	COG1760	L-serine dehydratase 1
EBBPGFGJ_02210	CDS	888				hypothetical protein
EBBPGFGJ_02211	CDS	1323	uhpC_1		COG2271	Membrane sensor protein UhpC
EBBPGFGJ_02212	CDS	1992	cirA			catecholate siderophore receptor CirA
EBBPGFGJ_02213	CDS	1470	lysP		COG0833	Lysine-specific permease LysP
EBBPGFGJ_02214	CDS	864	yeiE_1		COG0583	putative HTH-type transcriptional regulator YeiE
EBBPGFGJ_02215	CDS	1050				hypothetical protein
EBBPGFGJ_02216	CDS	858	nfo	3.1.21.2	COG0648	Endonuclease 4
EBBPGFGJ_02217	CDS	1689	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
EBBPGFGJ_02218	CDS	939	fruK_2	2.7.1.56	COG1105	1-phosphofructokinase
EBBPGFGJ_02219	CDS	1131	fruB			Multiphosphoryl transfer protein
EBBPGFGJ_02220	CDS	108				hypothetical protein
EBBPGFGJ_02221	CDS	1182	setB		COG2814	Sugar efflux transporter B
EBBPGFGJ_02222	CDS	666				hypothetical protein
EBBPGFGJ_02223	CDS	255				hypothetical protein
EBBPGFGJ_02224	CDS	573	yeiP		COG0231	Elongation factor P-like protein
EBBPGFGJ_02225	CDS	987	yeiR	3.6.5.-	COG0523	Zinc chaperone YeiR
EBBPGFGJ_02226	CDS	720	lpxT	2.7.4.29	COG0671	Lipid A 1-diphosphate synthase
EBBPGFGJ_02227	CDS	573	mepS_2	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
EBBPGFGJ_02228	CDS	1557	pdeN_2	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
EBBPGFGJ_02229	CDS	1806	yejA		COG4166	putative protein YejA
EBBPGFGJ_02230	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
EBBPGFGJ_02231	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
EBBPGFGJ_02232	CDS	1590	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
EBBPGFGJ_02233	CDS	345	yejG			putative protein YejG
EBBPGFGJ_02234	CDS	1191	bcr		COG2814	Bicyclomycin resistance protein
EBBPGFGJ_02235	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
EBBPGFGJ_02236	CDS	1761	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
EBBPGFGJ_02237	CDS	285	rplY		COG1825	Large ribosomal subunit protein bL25
EBBPGFGJ_02238	CDS	621				hypothetical protein
EBBPGFGJ_02239	CDS	1008	yejK		COG3081	Nucleoid-associated protein YejK
EBBPGFGJ_02240	CDS	228				hypothetical protein
EBBPGFGJ_02241	CDS	1761	yejM			Inner membrane protein YejM
EBBPGFGJ_02242	tRNA	77				tRNA-Pro(ggg)
EBBPGFGJ_02243	CDS	672				hypothetical protein
EBBPGFGJ_02244	CDS	1830	oafA			O-antigen acetyltransferase OafA
EBBPGFGJ_02245	CDS	444				hypothetical protein
EBBPGFGJ_02246	CDS	528				hypothetical protein
EBBPGFGJ_02247	CDS	1242				hypothetical protein
EBBPGFGJ_02248	CDS	519				hypothetical protein
EBBPGFGJ_02249	CDS	330				hypothetical protein
EBBPGFGJ_02250	CDS	1332				hypothetical protein
EBBPGFGJ_02251	CDS	366				hypothetical protein
EBBPGFGJ_02252	CDS	990				hypothetical protein
EBBPGFGJ_02253	CDS	231				hypothetical protein
EBBPGFGJ_02254	CDS	102				hypothetical protein
EBBPGFGJ_02255	CDS	2367	sspH2			SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2
EBBPGFGJ_02256	CDS	792				hypothetical protein
EBBPGFGJ_02257	CDS	378				hypothetical protein
EBBPGFGJ_02258	CDS	558				hypothetical protein
EBBPGFGJ_02259	CDS	648	narL_2		COG2197	Nitrate/nitrite response regulator protein NarL
EBBPGFGJ_02260	CDS	1044	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
EBBPGFGJ_02261	CDS	558	dsbE_1		COG0526	Thiol:disulfide interchange protein DsbE
EBBPGFGJ_02262	CDS	1932	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
EBBPGFGJ_02263	CDS	480	ccmE_1		COG2332	Cytochrome c-type biogenesis protein CcmE
EBBPGFGJ_02264	CDS	174	ccmD_1		COG3114	Heme exporter protein D
EBBPGFGJ_02265	CDS	747	ccmC_1		COG0755	Heme exporter protein C
EBBPGFGJ_02266	CDS	657	ccmB_1		COG2386	Heme exporter protein B
EBBPGFGJ_02267	CDS	618	ccmA_1	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
EBBPGFGJ_02268	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
EBBPGFGJ_02269	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
EBBPGFGJ_02270	CDS	870	napH		COG0348	Ferredoxin-type protein NapH
EBBPGFGJ_02271	CDS	696	napG		COG0437	Ferredoxin-type protein NapG
EBBPGFGJ_02272	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
EBBPGFGJ_02273	CDS	264	napD		COG3062	Chaperone NapD
EBBPGFGJ_02274	CDS	492	napF_1		COG1145	Ferredoxin-type protein NapF
EBBPGFGJ_02275	CDS	132				hypothetical protein
EBBPGFGJ_02276	CDS	507	eco		COG4574	Ecotin
EBBPGFGJ_02277	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
EBBPGFGJ_02278	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
EBBPGFGJ_02279	CDS	1059	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
EBBPGFGJ_02280	CDS	1053	apbE	2.7.1.180		FAD:protein FMN transferase
EBBPGFGJ_02281	CDS	1137	ompC_2		COG3203	Outer membrane porin C
EBBPGFGJ_02282	CDS	2670	rcsD	2.7.2.-	COG0642	Phosphotransferase RcsD
EBBPGFGJ_02283	CDS	651	rcsB_1			Transcriptional regulatory protein RcsB
EBBPGFGJ_02284	CDS	2847	rcsC	2.7.13.3	COG0784	Sensor histidine kinase RcsC
EBBPGFGJ_02285	CDS	2637	gyrA			DNA gyrase subunit A GyrA
EBBPGFGJ_02286	CDS	1203	rspA_2	4.2.1.-	COG4948	D-galactonate dehydratase family member RspA
EBBPGFGJ_02287	CDS	1326	ttuB_2			Putative tartrate transporter
EBBPGFGJ_02288	CDS	885				hypothetical protein
EBBPGFGJ_02289	CDS	729	ubiG_1	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
EBBPGFGJ_02290	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
EBBPGFGJ_02291	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
EBBPGFGJ_02292	CDS	255				hypothetical protein
EBBPGFGJ_02293	CDS	1218	cntE			Staphylopine export protein
EBBPGFGJ_02294	CDS	879	gltC_1		COG0583	Transcriptional dual regulator GltC
EBBPGFGJ_02295	CDS	1071	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
EBBPGFGJ_02296	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
EBBPGFGJ_02297	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
EBBPGFGJ_02298	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
EBBPGFGJ_02299	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
EBBPGFGJ_02300	CDS	1023	sseL	3.4.22.-		Deubiquitinase SseL
EBBPGFGJ_02301	CDS	177				hypothetical protein
EBBPGFGJ_02302	CDS	804	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
EBBPGFGJ_02303	CDS	1290	rhmT		COG2271	Inner membrane transport protein RhmT
EBBPGFGJ_02304	CDS	1206	rhmD	4.2.1.90		L-rhamnonate dehydratase
EBBPGFGJ_02305	CDS	783	rhmR_1		COG1414	putative HTH-type transcriptional regulator RhmR
EBBPGFGJ_02306	CDS	1197	pncC_2	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
EBBPGFGJ_02307	CDS	567				hypothetical protein
EBBPGFGJ_02308	CDS	426	nudI	3.6.1.9		Nucleoside triphosphatase NudI
EBBPGFGJ_02309	CDS	606	ais	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
EBBPGFGJ_02310	CDS	1140	arnB	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
EBBPGFGJ_02311	CDS	984	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
EBBPGFGJ_02312	CDS	1983	arnA			Bifunctional polymyxin resistance protein ArnA
EBBPGFGJ_02313	CDS	900	arnD	3.5.1.-		putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
EBBPGFGJ_02314	CDS	1647	arnT	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
EBBPGFGJ_02315	CDS	336	arnE		COG2076	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
EBBPGFGJ_02316	CDS	378	arnF		COG2076	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
EBBPGFGJ_02317	CDS	258	pmrD			Signal transduction protein PmrD
EBBPGFGJ_02318	CDS	1368	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
EBBPGFGJ_02319	CDS	963	menC	4.2.1.113		o-succinylbenzoate synthase
EBBPGFGJ_02320	CDS	858	menB	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
EBBPGFGJ_02321	CDS	759	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
EBBPGFGJ_02322	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
EBBPGFGJ_02323	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
EBBPGFGJ_02324	CDS	306	elaB		COG4575	Protein ElaB
EBBPGFGJ_02325	CDS	462	elaA		COG2153	Protein ElaA
EBBPGFGJ_02326	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
EBBPGFGJ_02327	CDS	1002	cheV2		COG0784	Chemotaxis protein CheV2
EBBPGFGJ_02328	CDS	1782				hypothetical protein
EBBPGFGJ_02329	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
EBBPGFGJ_02330	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
EBBPGFGJ_02331	CDS	1842	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
EBBPGFGJ_02332	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
EBBPGFGJ_02333	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
EBBPGFGJ_02334	CDS	543	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
EBBPGFGJ_02335	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
EBBPGFGJ_02336	CDS	2727	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
EBBPGFGJ_02337	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
EBBPGFGJ_02338	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
EBBPGFGJ_02339	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
EBBPGFGJ_02340	CDS	663	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
EBBPGFGJ_02341	CDS	444	nuoA	7.1.1.-	COG0838	NADH-quinone oxidoreductase subunit A
EBBPGFGJ_02342	CDS	939	lrhA		COG0583	putative HTH-type transcriptional regulator LrhA
EBBPGFGJ_02343	CDS	1215	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
EBBPGFGJ_02344	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
EBBPGFGJ_02345	CDS	1827				hypothetical protein
EBBPGFGJ_02346	CDS	660	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
EBBPGFGJ_02347	CDS	495				hypothetical protein
EBBPGFGJ_02348	CDS	456				hypothetical protein
EBBPGFGJ_02349	CDS	1203	ackA	2.7.2.1		Acetate kinase AckA
EBBPGFGJ_02350	CDS	2145	pta	2.3.1.222		Phosphate acetyltransferase
EBBPGFGJ_02351	CDS	1521				hypothetical protein
EBBPGFGJ_02352	CDS	954	sqwH	2.2.1.15	COG3958	6-deoxy-6-sulfo-D-fructose transketolase subunit SqwH
EBBPGFGJ_02353	CDS	831	sqwG	2.2.1.15	COG3959	6-deoxy-6-sulfo-D-fructose transketolase subunit SqwG
EBBPGFGJ_02354	CDS	1392	ulaA_2		COG3037	Ascorbate-specific PTS system EIIC component
EBBPGFGJ_02355	CDS	273				hypothetical protein
EBBPGFGJ_02356	CDS	444	ulaC_2		COG1762	Ascorbate-specific PTS system EIIA component
EBBPGFGJ_02357	CDS	1020	gntR_1		COG1609	HTH-type transcriptional regulator GntR
EBBPGFGJ_02358	CDS	555	yfcD	3.6.-.-	COG1443	putative Nudix hydrolase YfcD
EBBPGFGJ_02359	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
EBBPGFGJ_02360	CDS	645	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
EBBPGFGJ_02361	CDS	648	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
EBBPGFGJ_02362	CDS	894				Epimerase family protein
EBBPGFGJ_02363	CDS	774	hisP	7.4.2.1		Histidine/lysine/arginine/ornithine transport ATP-binding protein HisP
EBBPGFGJ_02364	CDS	708	hisM			Histidine/lysine/arginine/ornithine transport system permease protein HisM
EBBPGFGJ_02365	CDS	687	hisQ			Histidine/lysine/arginine/ornithine transport system permease protein HisQ
EBBPGFGJ_02366	CDS	783	hisJ			Histidine-binding periplasmic protein
EBBPGFGJ_02367	CDS	783	argT			Lysine/arginine/ornithine-binding periplasmic protein
EBBPGFGJ_02368	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
EBBPGFGJ_02369	CDS	1407	rocC		COG0833	Amino-acid permease RocC
EBBPGFGJ_02370	CDS	1104		5.1.1.5		Lysine racemase
EBBPGFGJ_02371	CDS	1422	gadC		COG0531	Glutamate/gamma-aminobutyrate antiporter
EBBPGFGJ_02372	CDS	1398	dokD	4.1.1.116		D-ornithine/D-lysine decarboxylase
EBBPGFGJ_02373	CDS	1428	rocR		COG3829	Transcriptional activator RocR
EBBPGFGJ_02374	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
EBBPGFGJ_02375	CDS	489	cvpA		COG1286	Colicin V production protein
EBBPGFGJ_02376	CDS	675	dedD		COG3147	Cell division protein DedD
EBBPGFGJ_02377	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
EBBPGFGJ_02378	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
EBBPGFGJ_02379	CDS	660	dedA		COG0586	Protein DedA
EBBPGFGJ_02380	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
EBBPGFGJ_02381	CDS	1014	usg		COG0136	USG-1 protein
EBBPGFGJ_02382	CDS	1137	pdxB	1.1.1.290		Erythronate-4-phosphate dehydrogenase
EBBPGFGJ_02383	CDS	1002	flk			Flagellar regulator flk
EBBPGFGJ_02384	CDS	1179	yfcJ_1		COG2814	putative MFS-type transporter YfcJ
EBBPGFGJ_02385	CDS	375				hypothetical protein
EBBPGFGJ_02386	CDS	249				hypothetical protein
EBBPGFGJ_02387	CDS	369				hypothetical protein
EBBPGFGJ_02388	CDS	519				hypothetical protein
EBBPGFGJ_02389	CDS	657				hypothetical protein
EBBPGFGJ_02390	CDS	1215	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
EBBPGFGJ_02391	CDS	2001	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
EBBPGFGJ_02392	CDS	276				hypothetical protein
EBBPGFGJ_02393	CDS	549	epmC	1.14.13.-	COG3101	Elongation factor P lysine hydroxylase
EBBPGFGJ_02394	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
EBBPGFGJ_02395	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
EBBPGFGJ_02396	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
EBBPGFGJ_02397	CDS	933	prmB	2.1.1.298	COG2890	Ribosomal protein uL3 glutamine methyltransferase
EBBPGFGJ_02398	CDS	552	smrB	3.1.-.-	COG2840	Ribosome rescue factor SmrB
EBBPGFGJ_02399	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
EBBPGFGJ_02400	CDS	2148	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
EBBPGFGJ_02401	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
EBBPGFGJ_02402	CDS	285				hypothetical protein
EBBPGFGJ_02403	CDS	1308	fadL		COG2067	Long-chain fatty acid transport protein
EBBPGFGJ_02404	CDS	756	mlaA			Intermembrane phospholipid transport system lipoprotein MlaA
EBBPGFGJ_02405	CDS	942	yfdC		COG2116	Inner membrane protein YfdC
EBBPGFGJ_02406	tRNA	75				tRNA-Arg(cct)
EBBPGFGJ_02407	CDS	939	pla	3.4.23.48		Plasminogen activator
EBBPGFGJ_02408	CDS	96				hypothetical protein
EBBPGFGJ_02409	CDS	1251	dctD		COG2204	C4-dicarboxylate transport transcriptional regulatory protein DctD
EBBPGFGJ_02410	CDS	2007	pgtB	2.7.13.3		Phosphoglycerate transport system sensor protein PgtB
EBBPGFGJ_02411	CDS	1275	pgtC			Phosphoglycerate transport regulatory protein PgtC
EBBPGFGJ_02412	CDS	1392	pgtP			Phosphoglycerate transporter protein
EBBPGFGJ_02413	CDS	243				hypothetical protein
EBBPGFGJ_02414	CDS	114				hypothetical protein
EBBPGFGJ_02415	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
EBBPGFGJ_02416	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
EBBPGFGJ_02417	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
EBBPGFGJ_02418	CDS	1236	yfeO			Putative ion-transport protein YfeO
EBBPGFGJ_02419	CDS	1653	ipdC	4.1.1.74	COG3961	Indole-3-pyruvate decarboxylase
EBBPGFGJ_02420	CDS	999	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
EBBPGFGJ_02421	CDS	327				hypothetical protein
EBBPGFGJ_02422	CDS	1242	mntH			Divalent metal cation transporter MntH
EBBPGFGJ_02423	CDS	1203	nupC		COG1972	Nucleoside permease NupC
